ID,Name,Role,Date,Status,Entry_Time,Exit_Time,Department
S001,Student_1,Student,2025-01-01,Present,09:15:00,15:30:00,CSE
S002,Student_2,Student,2025-01-01,Present,09:00:00,16:00:00,EEE
S003,Student_3,Student,2025-01-01,Present,10:00:00,15:00:00,ECE
S004,Student_4,Student,2025-01-01,Present,09:30:00,15:45:00,CSE
S005,Student_5,Student,2025-01-01,Present,09:00:00,16:00:00,ME
S006,Student_6,Student,2025-01-01,Present,09:00:00,15:45:00,IT
S007,Student_7,Student,2025-01-01,Present,09:00:00,15:45:00,EEE
S008,Student_8,Student,2025-01-01,Present,09:00:00,15:30:00,ME
S009,Student_9,Student,2025-01-01,Absent,,,IT
S010,Student_10,Student,2025-01-01,Present,09:00:00,15:00:00,ME
S011,Student_11,Student,2025-01-01,Present,10:00:00,15:45:00,ME
S012,Student_12,Student,2025-01-01,Present,09:30:00,15:30:00,ECE
S013,Student_13,Student,2025-01-01,Absent,,,ECE
S014,Student_14,Student,2025-01-01,Absent,,,CSE
S015,Student_15,Student,2025-01-01,Present,09:00:00,15:45:00,ECE
S016,Student_16,Student,2025-01-01,Present,09:00:00,15:45:00,ME
S017,Student_17,Student,2025-01-01,Present,09:00:00,15:30:00,ECE
S018,Student_18,Student,2025-01-01,Present,09:00:00,15:45:00,IT
S019,Student_19,Student,2025-01-01,Absent,,,ECE
S020,Student_20,Student,2025-01-01,Present,09:00:00,15:30:00,ECE
S021,Student_21,Student,2025-01-01,Absent,,,ECE
S022,Student_22,Student,2025-01-01,Present,09:15:00,16:00:00,ECE
S023,Student_23,Student,2025-01-01,Present,09:30:00,16:00:00,ME
S024,Student_24,Student,2025-01-01,Present,09:30:00,15:30:00,CSE
S025,Student_25,Student,2025-01-01,Present,09:15:00,16:00:00,EEE
T001,Staff_1,Staff,2025-01-01,Present,09:30:00,15:30:00,Admin
T002,Staff_2,Staff,2025-01-01,Present,09:00:00,16:00:00,Teaching
T003,Staff_3,Staff,2025-01-01,Absent,,,Admin
T004,Staff_4,Staff,2025-01-01,Present,09:00:00,15:30:00,Admin
T005,Staff_5,Staff,2025-01-01,Present,09:00:00,16:00:00,Teaching
S001,Student_1,Student,2025-01-02,Present,09:00:00,15:30:00,IT
S002,Student_2,Student,2025-01-02,Present,09:00:00,15:00:00,EEE
S003,Student_3,Student,2025-01-02,Present,09:00:00,16:00:00,EEE
S004,Student_4,Student,2025-01-02,Present,09:00:00,15:45:00,EEE
S005,Student_5,Student,2025-01-02,Present,09:00:00,15:45:00,EEE
S006,Student_6,Student,2025-01-02,Present,09:00:00,16:00:00,CSE
S007,Student_7,Student,2025-01-02,Present,09:00:00,16:00:00,CSE
S008,Student_8,Student,2025-01-02,Present,09:15:00,16:00:00,ME
S009,Student_9,Student,2025-01-02,Present,09:00:00,15:30:00,ME
S010,Student_10,Student,2025-01-02,Present,09:30:00,15:45:00,EEE
S011,Student_11,Student,2025-01-02,Present,09:15:00,15:30:00,IT
S012,Student_12,Student,2025-01-02,Present,09:00:00,16:00:00,CSE
S013,Student_13,Student,2025-01-02,Present,09:00:00,15:30:00,ECE
S014,Student_14,Student,2025-01-02,Absent,,,EEE
S015,Student_15,Student,2025-01-02,Present,09:30:00,15:30:00,EEE
S016,Student_16,Student,2025-01-02,Present,10:00:00,16:00:00,CSE
S017,Student_17,Student,2025-01-02,Present,09:30:00,15:45:00,EEE
S018,Student_18,Student,2025-01-02,Present,09:30:00,15:30:00,ECE
S019,Student_19,Student,2025-01-02,Present,09:15:00,15:30:00,CSE
S020,Student_20,Student,2025-01-02,Present,09:30:00,16:00:00,IT
S021,Student_21,Student,2025-01-02,Present,09:00:00,16:00:00,ME
S022,Student_22,Student,2025-01-02,Present,09:30:00,16:00:00,CSE
S023,Student_23,Student,2025-01-02,Present,09:15:00,15:30:00,EEE
S024,Student_24,Student,2025-01-02,Present,09:00:00,15:45:00,CSE
S025,Student_25,Student,2025-01-02,Present,09:15:00,15:45:00,CSE
T001,Staff_1,Staff,2025-01-02,Present,09:00:00,15:45:00,Teaching
T002,Staff_2,Staff,2025-01-02,Present,10:00:00,15:45:00,Admin
T003,Staff_3,Staff,2025-01-02,Present,10:00:00,15:00:00,Teaching
T004,Staff_4,Staff,2025-01-02,Present,09:00:00,15:00:00,Teaching
T005,Staff_5,Staff,2025-01-02,Present,09:15:00,16:00:00,Admin
S001,Student_1,Student,2025-01-03,Present,09:15:00,16:00:00,CSE
S002,Student_2,Student,2025-01-03,Absent,,,ECE
S003,Student_3,Student,2025-01-03,Present,09:30:00,15:45:00,ME
S004,Student_4,Student,2025-01-03,Present,09:30:00,15:45:00,ECE
S005,Student_5,Student,2025-01-03,Present,09:30:00,15:30:00,EEE
S006,Student_6,Student,2025-01-03,Present,10:00:00,16:00:00,CSE
S007,Student_7,Student,2025-01-03,Absent,,,IT
S008,Student_8,Student,2025-01-03,Present,09:00:00,15:00:00,EEE
S009,Student_9,Student,2025-01-03,Present,09:30:00,16:00:00,EEE
S010,Student_10,Student,2025-01-03,Present,09:30:00,15:45:00,ECE
S011,Student_11,Student,2025-01-03,Present,09:30:00,15:45:00,ECE
S012,Student_12,Student,2025-01-03,Present,09:30:00,15:45:00,IT
S013,Student_13,Student,2025-01-03,Present,09:00:00,16:00:00,EEE
S014,Student_14,Student,2025-01-03,Present,09:15:00,16:00:00,EEE
S015,Student_15,Student,2025-01-03,Present,09:00:00,15:00:00,ME
S016,Student_16,Student,2025-01-03,Present,09:30:00,16:00:00,CSE
S017,Student_17,Student,2025-01-03,Present,09:30:00,16:00:00,EEE
S018,Student_18,Student,2025-01-03,Present,09:00:00,15:45:00,EEE
S019,Student_19,Student,2025-01-03,Present,10:00:00,16:00:00,ECE
S020,Student_20,Student,2025-01-03,Present,09:15:00,15:45:00,EEE
S021,Student_21,Student,2025-01-03,Present,09:00:00,15:45:00,IT
S022,Student_22,Student,2025-01-03,Present,09:30:00,16:00:00,ECE
S023,Student_23,Student,2025-01-03,Present,09:00:00,15:45:00,ME
